"Variable","Dataset","label"
"AGE"," adsl","Age"
"AGEGR1"," adsl","Pooled Age Group 1"
"RACE"," adsl","Race"
"HEIGHTBL"," adsl","Baseline Height (cm)"
"WEIGHTBL"," adsl","Baseline Weight (kg)"
"BMIBL"," adsl","Baseline BMI (kg/m^2)"
"MMSETOT"," adsl","MMSE Total"
"STUDYID"," adsl","Study Identifier"
"ITTFL"," adsl","Intent-To-Treat Population Flag"
"TRT01P"," adsl","Planned Treatment for Period 01"
"USUBJID"," adsl","Unique Subject Identifier"
"STUDYID"," adlb","Study Identifier"
"USUBJID"," adlb","Unique Subject Identifier"
"TRTPN"," adlb","Planned Treatment (N)"
"PARAMCD"," adlb","Parameter Code"
"AVISITN"," adlb","Analysis Visit (N)"
"BASE"," adlb","Baseline Value"
"CHG"," adlb","Change from Baseline"
"AVAL"," adlb","Analysis Value"
"TRTP"," adlb","Planned Treatment"
"SAFFL"," adsl","Safety Population Flag"
"TRT01A"," adsl","Actual Treatment for Period 01"
"AVAL"," adtte","Analysis Value"
"CNSR"," adtte","Censor"
"PARAM"," adtte","Parameter"
"PARAMCD"," adtte","Parameter Code"
"EFFFL"," adas","Efficacy Population Flag"
"ITTFL"," adas","Intent-To-Treat Population Flag"
"PARAMCD"," adas","Parameter Code"
"ANL01FL"," adas","Analysis Flag 01"
"TRTP"," adas","Planned Treatment"
"AVAL"," adas","Analysis Value"
"AVISITN"," adas","Analysis Visit (N)"
"CHG"," adas","Change from Baseline"
"TRTPN"," adas","Planned Treatment (N)"
"USUBJID"," adas","Unique Subject Identifier"
